RA,ANO,NOME,FASE,TURMA,GENERO,IDADE,ANO_INGRESSO,INSTITUICAO_ENSINO,ESCOLA,STATUS_ATIVO,PEDRA,INDE,IAN,IDA,IEG,IAA,IPS,IPP,IPV,FASE_IDEAL,DEFASAGEM,PONTO_VIRADA,INDICADO_BOLSA,NOTA_MAT,NOTA_PORT,NOTA_ING,CG,CF,CT,QTDE_AVAL,REC_PSICO,DESTAQUE_IEG,DESTAQUE_IDA,DESTAQUE_IPV,FASE_IDEAL_NUM,FASE_NUM,IAA_FLAG_ZERO,IEG_FLAG_ZERO,IPS_FLAG_ZERO,IDA_FLAG_ZERO,IPV_FLAG_ZERO,IAN_FLAG_ZERO,INDE_OUTLIER,IAN_OUTLIER,IDA_OUTLIER,IEG_OUTLIER,IAA_OUTLIER,IPS_OUTLIER,IPP_OUTLIER,IPV_OUTLIER
RA-1,2022,Aluno-1,7,A,Feminino,19.0,2016,Escola Pública,,,Quartzo,5.783,5.0,4.0,4.1,8.3,5.6,,7.278,Fase 8 (Universitários),-1,False,True,2.7,3.5,6.0,753.0,18.0,10.0,4.0,Requer avaliação,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.0,7.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-2,2022,Aluno-2,7,A,Feminino,17.0,2017,Rede Decisão,,,Ametista,7.055,10.0,6.8,5.2,8.8,6.3,,6.778,Fase 7 (3º EM),0,False,False,6.3,4.5,9.7,469.0,8.0,3.0,4.0,Sem limitações,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.0,7.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-3,2022,Aluno-3,7,A,Feminino,17.0,2016,Rede Decisão,,,Ágata,6.591,10.0,5.6,7.9,0.0,5.6,,7.556,Fase 7 (3º EM),0,False,False,5.8,4.0,6.9,629.0,13.0,6.0,4.0,Sem limitações,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,7.0,7.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False
RA-4,2022,Aluno-4,7,A,Masculino,17.0,2017,Rede Decisão,,,Quartzo,5.951,10.0,5.0,4.5,8.8,5.6,,5.278,Fase 7 (3º EM),0,False,False,2.8,3.5,8.7,731.0,15.0,7.0,4.0,Requer avaliação,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.0,7.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-5,2022,Aluno-5,7,A,Feminino,17.0,2016,Rede Decisão,,,Ametista,7.427,10.0,5.2,8.6,7.9,5.6,,7.389,Fase 7 (3º EM),0,False,False,7.0,2.9,5.7,344.0,6.0,2.0,4.0,Requer avaliação,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.0,7.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-6,2022,Aluno-6,7,A,Feminino,18.0,2021,Escola Pública,,,Quartzo,5.848,5.0,3.3,4.5,7.9,7.5,,7.222,Fase 8 (Universitários),-1,False,True,2.3,5.3,2.3,745.0,16.0,8.0,4.0,Sem limitações,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.0,7.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-7,2022,Aluno-7,7,A,Masculino,18.0,2017,Rede Decisão,,,Ágata,6.818,5.0,7.6,8.4,0.0,7.5,,7.667,Fase 8 (Universitários),-1,False,False,8.2,5.7,9.0,550.0,11.0,5.0,4.0,Sem limitações,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.0,7.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False
RA-8,2022,Aluno-8,7,A,Feminino,20.0,2018,Escola Pública,,,Quartzo,4.786,5.0,1.6,4.6,7.1,6.3,,6.278,Fase 8 (Universitários),-1,False,False,1.2,0.7,2.9,836.0,21.0,13.0,4.0,Requer avaliação,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.0,7.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-9,2022,Aluno-9,7,A,Feminino,18.0,2019,Escola Pública,,,Topázio,8.109,5.0,6.7,9.5,8.8,7.5,,9.5,Fase 8 (Universitários),-1,True,True,5.5,6.0,8.7,113.0,1.0,1.0,4.0,Sem limitações,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.0,7.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-10,2022,Aluno-10,7,A,Feminino,18.0,2021,Escola Pública,,,Quartzo,5.784,5.0,4.1,5.2,8.3,5.0,,7.056,Fase 8 (Universitários),-1,False,False,3.3,2.6,6.4,752.0,17.0,9.0,4.0,Requer avaliação,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.0,7.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-11,2022,Aluno-11,7,A,Feminino,18.0,2016,Escola Pública,,,Quartzo,5.323,5.0,3.0,4.2,9.2,5.0,,6.389,Fase 8 (Universitários),-1,False,False,1.8,2.5,4.5,799.0,19.0,11.0,4.0,Requer avaliação,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.0,7.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-12,2022,Aluno-12,7,A,Feminino,17.0,2020,Escola Pública,,,Quartzo,4.832,10.0,1.5,4.0,0.0,6.9,,6.389,Fase 7 (3º EM),0,False,True,2.7,1.1,0.7,834.0,20.0,12.0,4.0,Sem limitações,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,7.0,7.0,True,False,False,False,False,False,False,False,False,False,True,False,False,False
RA-13,2022,Aluno-13,7,A,Masculino,18.0,2016,Escola Pública,,,Ágata,6.902,5.0,4.7,7.4,7.9,7.5,,8.056,Fase 8 (Universitários),-1,False,True,3.5,5.5,5.2,524.0,10.0,4.0,4.0,Sem limitações,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.0,7.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-14,2022,Aluno-14,7,D,Masculino,21.0,2022,Escola Pública,,,Ágata,6.793,5.0,4.0,8.3,7.9,7.5,,7.75,Fase 8 (Universitários),-1,False,True,8.0,0.0,,558.0,12.0,7.0,4.0,Não atendido,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.0,7.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-15,2022,Aluno-15,7,D,Masculino,18.0,2022,Escola Pública,,,Ametista,7.783,5.0,7.3,10.0,8.8,7.5,,7.292,Fase 8 (Universitários),-1,False,True,8.0,6.5,,207.0,3.0,2.0,4.0,Não atendido,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.0,7.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-16,2022,Aluno-16,7,D,Masculino,19.0,2022,Escola Pública,,,Ágata,6.112,5.0,3.5,8.3,7.9,5.0,,6.333,Fase 8 (Universitários),-1,False,True,7.0,0.0,,706.0,14.0,8.0,4.0,Requer avaliação,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8.0,7.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
RA-17,2022,Aluno-17,7,D,Masculino,20.0,2022,Escola Pública,,,Topázio,8.068,5.0,7.8,10.0,8.8,7.5,,8.292,Fase 8 (Universitários),-1,False,True,9.0,6.5,,125.0,2.0,1.0,4.0,Não atendido,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8.0,7.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False
