RA,NOME,GENERO,ANO_INGRESSO,CF_2022,CG_2022,CT_2022,DEFASAGEM_2022,DEFASAGEM_2023,DEFASAGEM_2024,DESTAQUE_IDA_2022,DESTAQUE_IEG_2022,DESTAQUE_IPV_2022,ESCOLA_2024,FASE_2022,FASE_2023,FASE_2024,FASE_IDEAL_2022,FASE_IDEAL_2023,FASE_IDEAL_2024,IAA_2022,IAA_2023,IAA_2024,IAN_2022,IAN_2023,IAN_2024,IDA_2022,IDA_2023,IDA_2024,IDADE_2022,IDADE_2023,IDADE_2024,IEG_2022,IEG_2023,IEG_2024,INDE_2022,INDE_2023,INDE_2024,INDICADO_BOLSA_2022,INSTITUICAO_ENSINO_2022,INSTITUICAO_ENSINO_2023,INSTITUICAO_ENSINO_2024,IPP_2023,IPP_2024,IPS_2022,IPS_2023,IPS_2024,IPV_2022,IPV_2023,IPV_2024,NOTA_ING_2022,NOTA_ING_2023,NOTA_ING_2024,NOTA_MAT_2022,NOTA_MAT_2023,NOTA_MAT_2024,NOTA_PORT_2022,NOTA_PORT_2023,NOTA_PORT_2024,PEDRA_2022,PEDRA_2023,PEDRA_2024,PONTO_VIRADA_2022,QTDE_AVAL_2022,QTDE_AVAL_2023,QTDE_AVAL_2024,REC_PSICO_2022,STATUS_ATIVO_2024,TURMA_2022,TURMA_2023,TURMA_2024
RA-1,Aluno-1,Feminino,2016,18.0,753.0,10.0,-1.0,0.0,,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,7,FASE 8,,Fase 8 (Universitários),Fase 8 (Universitários),,8.3,,,5.0,10.0,,4.0,,,19.0,,,4.1,,,5.783,,,True,Escola Pública,Privada *Parcerias com Bolsa 100%,,,,5.6,,,7.278,,,6.0,,,2.7,,,3.5,,,Quartzo,,,False,4.0,,,Requer avaliação,,A,8E,
RA-1,Aluno-1,Feminino,2021,,,,,,0.0,,,,Universidade Santo Amaro (UNISA),,,8E,,,Fase 8 (Universitários),,,,,,10.0,,,,,,21.0,,,0.0,,,,,,,Privada *Parcerias com Bolsa 100%,,,,,,,,,,,,,,,,,,,,,,,,0.0,,Cursando,,,8E
RA-10,Aluno-10,Feminino,2021,17.0,752.0,9.0,-1.0,,,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,7,,,Fase 8 (Universitários),,,8.3,,,5.0,,,4.1,,,18.0,,,5.2,,,5.784,,,False,Escola Pública,,,,,5.0,,,7.056,,,6.4,,,3.3,,,2.6,,,Quartzo,,,False,4.0,,,Requer avaliação,,A,,
RA-100,Aluno-100,Feminino,2019,22.0,268.0,7.0,1.0,,,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa entrega das lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,4,,,Fase 3 (7º e 8º ano),,,8.8,,,10.0,,,7.6,,,13.0,,,7.8,,,7.618,,,False,Rede Decisão,,,,,5.0,,,7.25,,,8.1,,,7.0,,,7.8,,,Ametista,,,False,4.0,,,Não indicado,,A,,
RA-1000,Aluno-1000,Feminino,2023,,,,,0.0,0.0,,,,EE Helio Luiz Dobrochinski Prof,,ALFA,1N,,ALFA (1° e 2° ano),Fase 1 (3° e 4° ano),,8.5,9.002,,10.0,10.0,,7.0,7.75,,8.0,9.0,,9.4,9.5454545455,,7.9162,8.364790909100002,,,Pública,Pública,6.25,8.125,,3.77,6.26,,8.92,7.835,,,,,7.0,7.5,,7.0,8.0,,Ametista,Topázio,,,2.0,2.0,,Cursando,,ALFA U - G2/G3,1N
RA-1001,Aluno-1001,Feminino,2023,,,,,-1.0,-1.0,,,,EE Helio Luiz Dobrochinski Prof,,ALFA,1N,,Fase 1 (3° e 4° ano),Fase 2 (5° e 6° ano),,9.0,7.502,,5.0,5.0,,7.8,7.75,,9.0,10.0,,9.1,9.347826087,,8.1162,7.7964318841,,,Pública,Pública,7.5,7.916666667,,7.52,7.51,,9.17,7.92,,,,,8.3,6.5,,7.3,9.0,,Topázio,Ametista,,,2.0,2.0,,Cursando,,ALFA U - G2/G3,1N
RA-1002,Aluno-1002,Feminino,2023,,,,,-1.0,-1.0,,,,EM Cecilia Cristina de Oliveira Rodrigues,,ALFA,ALFA,,Fase 1 (3° e 4° ano),Fase 1 (3° e 4° ano),,9.0,9.002,,5.0,5.0,,7.0,9.25,,9.0,10.0,,9.7,7.833333333500001,,7.9012,7.967866666700001,,,Pública,Pública,6.25,7.5,,7.52,7.51,,8.92,8.25,,,,,7.0,10.0,,7.0,8.5,,Ametista,Ametista,,,2.0,2.0,,Cursando,,ALFA U - G2/G3,ALFA N - G2/G3
RA-1003,Aluno-1003,Masculino,2023,,,,,0.0,-1.0,,,,EM Maria Ignez Concelles Irma Ines,,ALFA,ALFA,,ALFA (1° e 2° ano),Fase 1 (3° e 4° ano),,9.0,8.002,,10.0,5.0,,4.0,8.25,,8.0,9.0,,8.5,8.6944444445,,7.6522,7.627588888900001,,,Pública,Pública,7.5,6.875,,7.52,7.51,,8.75,7.5,,,,,8.0,10.0,,0.0,6.5,,Ametista,Ametista,,,2.0,2.0,,Cursando,,ALFA V - G0/G1,ALFA J - G2/G3
RA-1004,Aluno-1004,Feminino,2023,,,,,0.0,-1.0,,,,EM Pedro Antonio de Almeida,,ALFA,ALFA,,ALFA (1° e 2° ano),Fase 1 (3° e 4° ano),,9.0,9.502,,10.0,5.0,,7.9,7.5,,8.0,9.0,,9.6,9.25,,8.3137,7.801200000000001,,,Pública,Pública,6.875,7.5,,7.52,7.51,,7.42,7.5,,,,,6.5,7.5,,9.2,7.5,,Topázio,Ametista,,,2.0,2.0,,Cursando,,ALFA V - G0/G1,ALFA J - G2/G3
RA-1005,Aluno-1005,Masculino,2023,,,,,0.0,,,,,,,ALFA,,,ALFA (1° e 2° ano),,,9.5,,,10.0,,,8.8,,,8.0,,,7.9,,,8.4252,,,,Pública,,7.5,,,7.52,,,8.165,,,,,,8.4,,,9.2,,,Topázio,,,,2.0,,,,,ALFA V - G0/G1,
